item,expSet,grammaticallyCorrect,condition,socStat,context,word1,word2,word3,word4,word5,list,stimuli
1,WP2,no,j,high,Der Polizeikommi&szlig;ar vermerkte in der Akte:,Der,Trinker,verpfeifen,den,R&uuml;pel.,4,Critical
2,WP2,yes,i,high,Der Gef&auml;ngnisvorstand bezeugte in der Anh&ouml;rung:,Der,Skinhead,vertrimmte,den,Str&auml;fling.,4,Critical
3,WP2,no,h,high,Der Schuldirektor begr&uuml;ndete in dem Verweis:,Der,Sportlehrer,knechten,den,Wettl&auml;ufer.,4,Critical
4,WP2,yes,g,high,Der Kulturminister artikulierte im Jahresbericht:,Der,F&ouml;rderer,koste,den,Bildhauer.,4,Critical
5,WP2,no,j,low,Der Delegierte &uuml;bersandte die amtliche Botschaft:,Der,Bischof,tadeln,den,Herrscher.,4,Critical
6,WP2,yes,i,low,Der Penner lallte in der Spelunke:,Der,Sheriff,&uuml;berlistete,den,Gauner.,4,Critical
7,WP2,no,h,low,Der St&uuml;mper pl&auml;rrte in der Spielh&ouml;lle:,Der,Bandenchef,verschaukeln,den,Raubm&ouml;rder.,4,Critical
8,WP2,yes,g,low,Die Memme beheulte ihren Struggle:,Der,Sporttaucher,fobbte,den,Brustschwimmer.,4,Critical
9,WP2,no,j,high,Der Generalsekret&auml;r dementierte im Report:,Der,Reiseleiter,begucken,den,Abenteurer.,4,Critical
10,WP2,yes,i,high,Der Regent bekundete edelm&uuml;tig:,Der,Wagenlenker,schmuste,den,Autoschlo&szlig;er.,4,Critical
11,WP2,no,h,high,Der Kavalier bemerkte in seinem Gefolge:,Der,B&auml;cker,musterte,den,H&auml;ndler.,4,Critical
12,WP2,yes,g,high,Die Gelehrte bedauerte in ihrer Weisheit:,Der,Obdachlose,schm&auml;hte,den,Bastard.,4,Critical
13,WP2,no,j,low,Die Clique johlte beim Saufen:,Der,Kneipenwirt,ma&szlig;regelte,den,Meisterkoch.,4,Critical
14,WP2,yes,i,low,Der Rotzl&ouml;ffel quakte laut:,Der,Bauer,checkte,den,Helfer.,4,Critical
15,WP2,no,h,low,Der Hanswurst krakelte auf dem Block:,Der,Staatsdiener,verpetzen,den,Werksleiter.,4,Critical
16,WP2,yes,g,low,Der A&szlig;i schmi&szlig; in die Runde:,Der,Techniker,bep&ouml;belte,den,Handwerker.,4,Critical
17,WP2,no,j,high,Die Herzogin &uuml;berzeugte den Premier:,Der,Fechter,fighten,den,Gegner.,4,Critical
18,WP2,yes,i,high,Der Vorstandsvorsitzende propagierte in der Sitzung:,Der,Ausbilder,sponserte,den,Springreiter.,4,Critical
19,WP2,no,h,high,Der Hofmeister verlautbarte ohne Piet&auml;t:,Der,Priester,indoktrinieren,den,Hausarzt.,4,Critical
20,WP2,yes,g,high,Der Landesherr verewigte auf dem Pergament:,Der,Kaiser,verw&ouml;hnte,den,Herzog.,4,Critical
1,WP1,yes,c,high,Elegant angezogen spricht Peter:,Ich,binde,gleich,meine,Schuhe.,4,Filler
1,WP1,no,f,low,Sauber zurechtgemacht labert Peter:,Ich,binde,gleich,meine,Klamotten.,4,Filler
3,WP1,no,e,high,Modern ausgerichtet spricht Felix:,Ich,saniere,bald,meine,Ohren.,4,Filler
3,WP1,yes,d,low,Schlampig eingestellt labert Felix.,Ich,saniere,bald,meine,Behausung.,4,Filler
5,WP1,yes,c,high,H&ouml;chst strebsam verlautbart Moritz:,Ich,renoviere,sp&auml;ter,meine,Gem&auml;cher.,4,Filler
5,WP1,no,f,low,Stark unter Dampf tr&ouml;tet Moritz:,Ich,renoviere,sp&auml;ter,meine,P&ouml;tte.,4,Filler
7,WP1,no,e,high,Wohlgemut gesinnt proklamiert Dennis:,Ich,fahre,jetzt,mein,Gem&uuml;se.,4,Filler
7,WP1,yes,d,low,Quietschfidel gelaunt twittert Dennis:,Ich,fahre,jetzt,mein,Stahlross.,4,Filler
9,WP1,yes,c,high,Verm&ouml;gend situiert avisiert Paula:,Ich,verschrotte,bald,meine,Autos.,4,Filler
9,WP1,no,f,low,Massig betucht schwafelt Paula:,Ich,verschrotte,bald,meine,Stelzen.,4,Filler
11,WP1,no,e,high,Dienlich geschult kommentiert Daniel:,Ich,b&uuml;gel,gleich,meine,Pferde.,4,Filler
11,WP1,yes,d,low,Patent trainiert verklickert Daniel:,Ich,b&uuml;gel,gleich,meine,Buxen.,4,Filler
13,WP1,yes,c,high,Au&szlig;erordentlich pr&auml;pariert formuliert Maria:,Ich,schmiere,sp&auml;ter,meine,Butterbrote.,4,Filler
13,WP1,no,f,low,Astrein hergerichtet plappert Maria:,Ich,schmiere,sp&auml;ter,meine,Klauen.,4,Filler
15,WP1,no,e,high,Feinsinnig veranlagt verk&uuml;ndet Robert:,Ich,spare,jetzt,mein,Essen.,4,Filler
15,WP1,yes,d,low,Helle gestrickt t&ouml;nt Robert:,Ich,spare,jetzt,mein,Moos.,4,Filler
17,WP1,yes,c,high,Penibelst disponiert propagiert Tobias:,Ich,putze,gleich,mein,WC.,4,Filler
17,WP1,no,f,low,Pingelig getrimmt schwafelt Tobias:,Ich,putze,gleich,mein,Vieh.,4,Filler
19,WP1,no,e,high,Regsam engagiert renommiert Lukas:,Ich,unterschreibe,jetzt,meinen,Champagner.,4,Filler
19,WP1,yes,d,low,Aktiv mit dabei protzt Lukas:,Ich,unterschreibe,jetzt,meinen,Wisch.,4,Filler
